normalperson wj225|See: Batshua
stfw ShadowS_|search the fucking web!
AFAIR SNIBRIL|As Far As I Remember.
#javascript `CYCO|#javascript <-- channel of weak Java developers.
translator savage-|Will translate English/Spanish/German/French/Portuguese/Italian: http://babelfish.altavista.digital.com/cgi-bin/translate?
array kestrel|"char array[x]" makes an array with *exactly* "x" char's in it. The first index of this array is array[0], and the last is array[x - 1]. Strings do *not* magically gain more elements.
compression-tut ShadowS_|http://www.cs.sfu.ca/cs/CC/365/li/squeeze/ (Compression Tutorial with Java applets!)
cbookguide OrngeTide|funnelweb.utcc.utk.edu/~williams/cbook.html <-- guide to selecting a C book
V OrngeTide|is a portable C++ GUI Framework for Windows and X. http://www.cs.unm.edu/~wampler/vgui/vgui.html and http://objectcentral.com
java-tute Czero|The Java Language Tutorial - an online java book for beginners.  http://java.sun.com/docs/books/tutorial/
semantics zhivago|damn important.
poll SNIBRIL|Taking a poll, questions like does anyone here use <fill in blank>, are really annoying, and counter productive. Rather than narrow the field of potential help to that select few who bother to respond why not ask your question/describe your problem in the channel?
hart SNIBRIL|Johnson M. Hart, "Win32 System Programming", 1997, Addison-Wesley, ISBN 0201634651.
iirc gambit-|If I Recall Correctly
djgpp Celeborn|http://www.delorie.com/djgpp/
javascript MXV|try #html and #javascript .. in that order
CyrixBoy CyrixBoy|A silly person indeed
Aegis aegis|A genius and a lizard.  http://www.night-flyer.com
raw-ip-faq ShadowS_|http://www.whitefang.com/rin/
_Kage kage`|.
Kage kage`|.
Kage` kage`|.
opengl opengl`|http://www.opengl.org
c-people ShadowS_|"#c is a lot like a medevial court. A handful of knights keep an eye on the court, appointed by noblemen who took over via a coup'd'te. Jokers frequent the court after school is out." -- shadows
optimization2 dhartmei|Premature optimization is the root of all evil. -- D.E. Knuth
inheritance alyshia|If inheritance is a good thing, then multiple inheritance is an even better thing. -PN
calcmania aegis| When people go crazy and start making lots of calcs at my typing expense.
bc alyshia|get your own copy of bc (ftp://sunsite.unc.edu./pub/gnu/) --- don't do pointless arithmetic calcs to the channel
seenmania gambit-|Yes, I can see you! I can see him! I can see *EVERYONE*! So enough already!
msg gambit-|It is incredibly impolite (and excessivly lame) to message a random person with a question!  Dont do it!  Ask in channel!
ihs Tybstar|Interface Hall of Shame - read it, and don't make the same mistakes twice. http://www.iarchitect.com/mshame.htm
dfe95 opengl`|DJGPP Front-End for Windows 95, http://www.netcom.com/~kased811/dfe95.html
borg gambit-|Interested in becoming borgish? This is the place to go, then: lcs.www.media.mit.edu/projects/wearables/
QnA wawb|Ask the right question and you'll get the right answer
joke wawb|"Knock knock!" "Who's there?" "Interupting cow." "Interupti--" "MOO!"
builder opengl`|C++ Builder: A buggy C++ shell over a lame pascal VB clone
doesnotwork demoncrat|Please define ``does not work''.
Monkey wawb|"We've all heard that a million monkeys banging on a million typewriters would eventually reproduce the entire works of Shakespeare. Now-- thanks to the Internet-- we know this is not true."
cmucl zhivago|www.cons.org
rtfm. OrngeTide|Read The Fucking Manual.
linukth lambda|linux + scheme = linukth
iq gambit-|See Ops.
Clinton Xgc|Clinton is obviously guilty.  He gives the term "having your hands full" a new meaning.
dfe opengl`|see "dfe95"
complain opengl`|if your compiler is "complaining" or "barfing", it's your fault
getaclue opengl`|Here's a novel idea for you: go to the bank, take out a loan, and buy a clue!!!
print _Zaphod|Real men use printf to debug. As the old saying goes, "When it doubt, print more out!"
OUTI opengl`|OUTI: Operating Under The Impression
mask _Zaphod|The l33test way of setting bits, or checking if they are set, is the bitwise operators. 0x01 is the first bit, 0x02 is the second, 0x04 is the third, et cetera. Supposing x is such a number; byte |= x would make sure the x bit is set; byte & x would equal x if x is set in byte, or 0 if it's not. The ~ operator comes in handy. Get it?
hw alyshia|this is not a homework-help channel. don't bring your homework here unless it is interesting.
documentation gambit-|Documentation is a bit like sex. When it's good, it's very very good, and when it's bad, it's better than nothing.
unresolved _Zaphod|If you're getting "unresolved external: main", it's because you told your compiler you're doing DOS and you're doing Windows, and if it's "unresolved external: WinMain", vice versa.
win98 Ape|Windows98 - The OS that all the leet linux users will have on their primary hard drive but won't admit to..
png OrngeTide|Portable Network Graphic, invented to replace GIF because of the patents involved with it's compression. http://www.cdrom.com/pub/png
afk gambit-|A-F-K: Away From Keyboard
SaintN SaintN|The patron Saint of all that is incorrectly believed to be wrong
J++ opengl`|"Hey guys...lets take all the platform independance out of Java!" "Run with it Bill."
dancing gambit-|Dancing is the vertical expression of a horizontal desire.
askask SaintN|Just *ask* a question, don't ask to ask if you can ask a question
mwha _Zaphod|Mwhahahahahahaha, hahah, heh, heeheehee, bwhaha
char OrngeTide|In C the char type represents both a character and a numerical value. (what did you think unsigned and signed char were all about?)
crypt zhivago|ftp://ftp.funet.fi/pub/crypt/cryptography/libs/README
ggi zhivago|www.ggi-project.org General Graphics Interface (ps you don't need to patch your kernel)
Tybstar Tybstar|Post no bills
crash Tybstar|<Pegasus> Win95 is for people who aren't afraid to crash.
NYI gambit-|Not Yet Implimented
winprog CyrixBoy|Try #winprog they're silly like that.
dump CyrixBoy|Computer core dumps and crashes are it's way of telling you your system is outdated.
bad CyrixBoy|Wrong, wrong WRONG, no, no, NO!  Bad, bad BAD!
intercal gambit-|http://www.ugcs.caltech.edu/~jlm/intercal.html You will Like it.  You will Love it.  You will Use it.
gs alyshia|ftp://ftp.cs.wisc.edu./ghost/aladdin/gsNNN/ghostscript*NNNN*
scheme lambda|<Palisade> thinks evil lambda should be assasinated, but then he'd be a martyr to schemers everywhere
sound aegis|www.creaf.com
mutual-recursion lambda|see "mutual-recursive"
mutual-recursive lambda|see "mutual-recursion"
l33t CyrixBoy|l33t <pronounced 'LEET'> is a slang term meaning 'technologically superior'
leet-scheme lambda|skeem is a l33t l1sp-l1|<3 language
gay Ape|Don't worry, be happy mon.
directx gambit-|Microsoft's Solution to Everything: If its a standard, we can improve on it.
asc opengl`|another satisfied customer...
asshole _Zaphod|<OGL> euler: being an asshole usually makes people help you faster
cau gambit-|I}ruid's underground e-mag: http://www.caughq.org
sizeof Xgc|sizeof(arg) - evaluates to the size of the given variable or type.
ahok Xgc|ahok == Ah. Ok.
library Tybstar|Don't ask for libraries. You usually need header files and such to go along with them, so just get them from where they should be gotten.
intern gambit-|/* note to all members of project team: I will be committing hari-kari this evening at 8 while you guys are on irc.  it was fun knowing you */  /* so that's what happened to that intern! */
PTC OrngeTide|PTC - prometheus truecolor, The portable truecolor graphics system! (DOS:VGA/VESA,Win32:DirectX,Linux:svgalib/GGI/X11,and more!) - http://www.gaffer.org/ptc/
lambda-calculus lambda|lambda calculus is not only an abstract calculus, but the calculus of abstraction!
nasm _Zaphod|http://www.web-sites.co.uk/nasm/
x-men gambit-|We know who you are.  We know what you do.  We know the answer to your question, but we will not tell you.
uafse CyrixBoy|use a freaking search engine, you silly person
occam dhartmei|Pluralitas non ponenda est sine necessitate. -- William of Ockham. (Occam's Razor: Multiplicity is not to be asserted without necessity.)
hal opengl`|Freaking HAL!!!
shovel _Zaphod|<`dp`> someone get a shovel .. were gonna be shoveling a lot of bullshit tonight! :)
mcd wawb|Practice this phrase: "Would you like fries with that?"
132 OrngeTide|132? try looking at 132 in binary on your fingers! 0010000100
blaster aegis|see sound
Gates kuru|We don't need gates, we'll break in!
story gambit-|http://www.eyrie.net/uf/  The Greatest Combination of Computers, Anime, and Science Fiction known to mankind!
MCI gambit-|Mostly Consistent Internet
kuwait kuru|Kuwait is a big country conveniently located between the US and Iraq. Kuwait has participated in freeing the US after it was invaded by the Iraqi invasion.
objc-faq opengl`|http://www.cis.ohio-state.edu/hypertext/faq/bngusenet/comp/lang/objective-c/top.html
rand() megaton|to get a random number between 0 and 9, try this:  x = rand() % 10;
2600 opengl`|<OGL> what the hell is #2600 for anyway? <_Zaphod> OGL: Lamers.
nojavascript Czero|Java and JavaScript are entirely different languages, for this reason the people in #java don't know javascript, and aren't interested in discussing it.  See Netscape's site for javascript information.
speed opengl`|it doesn't matter how fast your processor is...computers spend most of their time waiting for slow humans to give them input
GPL _Zaphod|GNU General Public License. In short, you make your code public, and any program distributed which uses your code must also distribute its code. See http://www.gnu.org/copyleft/gpl.html for more information.
ansihp _Zaphod|American National Standards Institute - http://www.ansi.org/
rabbit CyrixBoy|Silly rabbit, tricks are for kids!
rms lambda|Creator of EMACS, 'nuff said.
screens lambda|There are no screens in #c.
ddd jamiroqui|http://www.cs.tu-bs.de/softech/ddd/ddd-picture.html
vi-sucks _Zaphod|<OrngeTide> Palisade, you're just mad cuz you probally had to reboot your computer to "exit" vi the first time you tried it. :)
stupid-questions kuru|Questions like, which is better, and which is harder. Make your own judgement goddammit! These things vary from one person to another.
hay CyrixBoy|hay: another word for "I can't code worth Jack"
applets Czero|Look at http://www.gamelan.com/ and http://www.jars.com/ for all your web-applet needs!
cricket CyrixBoy|I can almost hear the crickets of impending doom!
jesus kuru|Jesus is a myth that has no solid historical proof.
pl1 dhartmei|PL/1, "the fatal disease", belongs more to the problem set than to the solution set. -- E. W. Dijkstra
phrase alyshia|please phrase your query in the form of a question.
dvorak alyshia|papaya
builders wawb|Bah! Builders are for pansies !
hacker gambit-|Discordian Programmer.
lcc-win32 gambit-|http://www.cs.virginia.edu/~lcc-win32/
CB kuru|while (CB != 31337) printf("CyrixBoy is NOT l33t\n");
mingw32 cout|Minw32 (Minimalist GNU for Windows) - A runtime library that allows GCC to run under Windows.  If you want a free compiler, see http://www.mingw.org/
quark flub|the sound made by a well bred duck.
read kuru|If you are not going to put the effort to go find books, and reading them, then you shouldn't expect anyone here to actually help you.
gdb Ape|gdb - the defacto debugger for gcc. learn it. use it. love it.
sockets-tute Ape|Check out cscene issue #2 at http://cscene.oftheinter.net for a sockets tutorial article
family zhivago|families consist of adults raising children.
amnesia demoncrat|I forget.
BBS lambda|old-sk00l Bulletin Board System
guavac OrngeTide|a free Java bytecode compiler. ftp://ftp.yggdrasil.com/pub/dist/devel/compilers/guavac/,  http://http.cs.berkeley.edu/~engberg/guavac, ftp://ftp.unicamp.br/pub/languages/java/guavac
C-history megaton|http://cm.bell-labs.com/cm/cs/who/dmr/chist.html
authority muted|muted is the only one with authority around here
ignore muted|a useful command for pests /ignore nick all
IrcCE _Zaphod|An IRC client for Windows, WinCE friendly. Source code is available. http://www.movsoftware.com/
warning muted|"warning, warning Will Rogers, danger, danger"
egcs-releases muted|http://gd.tuwien.ac.at/gnu/pcg/data/ecgs/releases/
bored muted|bored?  check out http://www.tiac.net/users/mute/lynx_bookmarks.html
newbie kuru|<OGL> green: don't flaunt your newbieness like a trophy
beos Pegasus|For more information on BeOS, see http://www.be.com/.
cast-malloc OrngeTide|You should never cast malloc in C, include stdlib.h to get the prototype. It'll cause nasty bugs on systems that don't have sizeof(int) equal to sizeof(void*)
free OrngeTide|Free in the GNU sense is "Freedom, baby, ya!"
stack glamdring|First in, last out... in, in, in, in, in, out, out, out, out, out... ahhhhhhh
icq gambit-|Trash.  http://www.concentric.net/~dynatron/icq/icqprogs.html.
bitchx OGL|IrcII for lamers
wotsit OrngeTide|Wotsit's File Format collection(bitmaps,fonts,sound&music,and more!) http://www.wotsit.org
ProgrammersHeaven OrngeTide|http://www.programmersheaven.com Also available on CD-rom! Oodles of docs and src.
sicp demoncrat|Structure and Interpretation of Computer Programs: http://mitpress.mit.edu/sicp/
introbooks alyshia|return -ENOSYS; /* this calc not yet implemented */
MFC: SilverStr|Microsoft's F*cked-up Classes
cobol3 dhartmei|The use of COBOL cripples the mind; its teaching should, therefore, be regarded as a criminal offense. -- E. W. Dijkstra
aly.flood alyshia|a flood is anything that alycat deems to be a flood ex post facto
quote#2 kuru|"*Always* keep an xterm open." - Xgc
truth2 dhartmei|Nothing can so prevent you from learning the truth as the belief that you already know it. -- Jon Hart
febo gambit-|FEBO: Fantasticly Early Bug Out
dontwork SNIBRIL| "Do(es)n't work" is NOT an  error description!
myob gambit-|MYOB: Mind Your Own Buisness
UO-linux OrngeTide|Ultima Online client for Linux. ftp://leper.owo.com/pub/uo
***LIST_TRUNCATED_AT_25*** alyshia|there is no good reason why we chose 25; 25 is arbitrary.
VFAT x86|stands for Very FAT, as like in "girl next door" or Gates' wife? who knows
helpful _Zaphod|We're more helpful than you realize.
cc CyrixBoy|Why not try the c homesite first if you have any questions about C : http://dev.comp.org
kludge alyshia|a certain technique that gets the job done but is neither clean nor robust
dnc gambit-|DNC: Does Not Compute
lisp zhivago|See #lisp if anyone is awake. http://www.cons.org
rotate OrngeTide|Rotate Right: (x >> n) | (x << (sizeof x * CHAR_BIT - n));   Rotate Left: (x << n) | (x >> (sizeof x * CHAR_BIT - n));
nt-unix zhivago|http://www.kirch.net/unix-nt.html
no-man kuru|http://www.bsdi.com/bsdi-man/ is an online collection of the BSD man pages
peon SNIBRIL|People i don't like to calc with.
crypto++ SNIBRIL|Crypto++ is a free C++ class library of cryptographic primitives - http://www.eskimo.com/~weidai/cryptlib.html
Richter SNIBRIL|"Advanced Windows", third edition, Jeffrey Richter, Microsoft Press, 1997, ISBN  1-57231-548-2.
get-egcs ponn|http://www.cygnus.com/egcs
Viagra Xgc|Viagra - Program to help keep ppp up for long periods.
dumb SNIBRIL|Dumb, dumb calc.
goodquestion cwilbur|A good question looks like this: According to the documentation, if I say X, the computer will do Y.  But instead it does Z.  I ran it under the debugger and examined all my variables, and I checked P, Q, and R, and I can't figure out what's wrong.  Any suggestions?
primative glamdring|Primative = prime + ative = tending to prime.  I think you mean primitive.
Z _Zaphod|Zaphod, Zhivago and Zygote are not one.
CvsC++ kuru|<OrngeTide> I prefer C cuz it's archiac enough to make me feel like I'm some old wizard casting spells:)
srand _Zaphod|To get random numbers, you use a single call to srand, and give it some parameter which changes every time, like the PID or the local time (e.g. srand(time(NULL))), ONCE per session, and then call rand() as much as you like to get random numbers.
ILL _Zaphod|Inter-library loan.  If your library doesn't have the book you are looking for, go to the reference desk and request the book on ILL.  They will check the book out of another library for you.
net Tybstar|How much net work could a network work, if a network could net work?
gnu_sex gambit-|This sex is free to distribute as long as the foreplay is left unchanged, and all videotapes remain public property.
jami jamiroqui|jami - njs3@doc.ic.ac.uk
splash SNIBRIL|C++ Regular Expression library (wraps POSIX regex.c).  Very robust, stable and portable library.  ftp://ftp.netcom.com/pub/mo/morris
website `CYCO|"http://www.RealDev.com" <-- #java and #c status pages!
character gambit-|Its what you are in the dark... and in IRC.
compile aegis| Please don't ask others to compile programs for you.  It's tacky, lame, and other people are busy besides yourself.
Lippman SNIBRIL|"C++ Primer" by Stanley B. Lippman,  Josee Lajoie, Paperback - 1237 pages 3rd edition (April 1998),  Addison-Wesley Pub Co; ISBN: 0201824701
strupr Pegasus|char *strupr(char *str) { char *tmp; for (tmp = str; *tmp; tmp++) *tmp = toupper(*tmp); return str; }
strlwr Pegasus|char *strlwr(char *str) { char *tmp; for (tmp = str; *tmp; tmp++) *tmp = tolower(*tmp); return str; }
luser Gambit-|Suffer not the stupidity of lusers, for a swift kick shall smite them squarely and purify their presence!
love Gambit-|Love is the answer, but in the mean time sex raises some pretty good questions!
ignored SNIBRIL|when you bugger people with /msgs, you should know what the /ignore command is for (since it'll probably get applied on you).
need Gambit-|Does it look like we care what you need?  We are willing to provide the cross and the hammer, but you will have to cross your legs, we only have three nails.
oswars Gambit-|OS Wars - Usually a lame and silly thing.  Take it elsewhere.  Or else.
callas callas|Owned by callas, thanks.
notcallas demoncrat|Not owned by callas.
bigot Gambit-|Bigot - "`big-ut" n. (1) Anyone winning an argument with a liberal
bah wawb|BAH!
postgresql SilverStr|GPL Object Oriented SQL Database designed for Unix, supporting almost all standard SQL command sets. See www.postgresql.org for more info.
overlord Gambit-|Gambit's current occupation.  See also http://www.eviloverlord.com/
goto Tybstar|I think its foolish to use goto on the fear of using up 4 bytes, you are cutting off your nose despite your face, how many (young) programmers go through ridiculous "optimization" rituals in order to get a buggy exacutable that is marginally faster than a stable one that is well written. a quote.  "Premature optimization is the root of all evil" - Donald Knuth
x2ftp Gambit-|X2FTP Archives at ftp://x2ftp.oulu.fi/pub/msdos/programming/ [A great collection of graphics and game code and algorithms.  See also 'wotsit'.]
randfaq SNIBRIL|How can I get random integers in a certain range? - http://www.eskimo.com/~scs/C-faq/q13.16.html
AOP Ape|Aspect Oriented Programming - http://www.parc.xerox.com/spl/projects/aop
answers Ape|The answer to your question is one of the following: use sprintf, add -lm to the compiler options, use strcmp instead of ==, allocate space for your string, dont use scanf, 42
pointers x86|Pointers: That thing that newbies can't seem to understand.
socialism _Zaphod|For socialist stuff see http://www.gnu.org/philosophy/words-to-avoid.html or http://www.gnu.org/philosophy/why-free.html
emacs32 _Zaphod|emacs32, the spawn of satan for Satan himself. 'nuff said
bios aegis|Basic Input/Output System (aka: Bootstrap Input/Output System)
murphy2 Gambit-|Murphys Law of Mime Logic:  If Murphy was walking in the woods and a tree fell on him, was it bound to happen?
loser Troi|First, ask if you can ask. Then WAIT. DON'T ask your question! Now spend some time switching nicks frequently. Then, do whatever you can to upset the ops. Lastly, complain that the ops aren't helping you and they're a bunch of self-centered egotists!
crypto Notagod|Non-us crypto site http://www.hertreg.ac.uk/ss/Resources.html
towel SNIBRIL|Parents of young organic lifeforms are warned that towels can be harmful if swallowed in large quantities.
last-resort _Zaphod|<muted> haha, when all else fails, think!
lotr Tybstar|Lord of the Rings. Great books. Read em!
hell SaintN|Windows 98 and no way to reboot the system
tough Gambit-|If you have to ask, then yes it is tough for you.
mundane Gambit-|Mundane - Anyone who is "Normal"(tm), or a member of the "Shiny Happy People"(tm).
befunge Tybstar|Fear the obfuscation! http://www.cats-eye.com/cet/soft/lang/befunge/
blueberry Troi|Hmm, what does this do? : int main(){int r,a=126,b=-84,c=74,d=2, e=-134,f=321,g=-587,h=994,i=-1649,j=2715,k=-4449,l=7310,m=-12302,n=22123, o=-44639,p=102089,q=-253126;for(r=0;r<17;r++){printf("%c",a);a+=b;b+=c;c+=d; d+=e;e+=f;f+=g;g+=h;h+=i;i+=j;j+=k;k+=l;l+=m;m+=n;n+=o;o+=p;p+=q;}}
gurps megaton|GURPS, a universal role playing system. read more at: www.sjgames.com
evilness x86|My little brother deleted kernel32.dll, does anyone care to share it?
ifind SNIBRIL|The Intelligent and Fast Parallel Web Search - http://www.infind.com/
kde x86|KDE - The K Desktop Environnement, check it out, it's awesome: http://www.kde.org
owl Ape|hoooOOOOOooOOoOOooOOoOoOOoooOOOoOoOoOOOOOOooo
SWAG OrngeTide|Silly Wild-Assed Guess
djvu OrngeTide|new lossy compression scheme. http://djvu.research.att.com/
billy `CYCO|Check out Billy! -> http://www.housecoats.com/play/cumonmonica/
point aegis|Get to the point...
fpga zhivago|Field Programmable Gate Array
rfc Gambit-|RFC: Request For Comments. See http://www.faqs.org/rfcs/
gnustep x86|GNUstep is a GNU (read Free) OpenStep implementation. For more info: http://www.gnustep.org
rtfm x86|RTFM stands for: Read the Fucking Manual.
stw x86|Search The Web!
gameprogramming _Zaphod|See Amit's Game Programming Resources at http://www-cs-students.stanford.edu/~amitp/gameprog.html
emacs x86|Emacs is a very powefull editor, you can love it or you can hate it. But stop bitching it.
PERL x86|PERL - a language written by Larry Wall - Practical Extraction and Report Language. For more information visit: http://www.perl.org
afaik Gambit-|AFAIK: As Far As I Know
Setz Setz|Real programmers debug with an anolog multi-meter!
2darray OrngeTide|There are two ways to go: 1) yourtype *array=malloc(sizeof *array * WIDTH * HEIGHT); array[x + y * WIDTH]; 2) yourtype **array=malloc(sizeof *array * WIDTH); for(i=0;i<WIDTH;i++) array[i]=malloc(sizeof **array * HEIGHT); array[x][y];
easy ponn|"Teach yourself to be a Dummy in 21 days"
c++critique Tybstar|http://www.progsoc.uts.edu.au/~geldridg/cpp/cppcv3/index.html
itoa jamiroqui|To convert from int to char* use sprintf: char  buf[32]; int i = 23; sprintf(buf, "%d", i); if (!strcmp(buf, "23")) fprintf(stderr, "Danger Will Robinson!!");
COM `CYCO|COM - Microsoft's (shh...don't say that too loud) Component Object Modeling architecture.  It's their response to CORBA.
DCOM `CYCO|DCOM - Microsoft's "Distributed" Component Object Modeling architecture.
modem Gambit-|<Tybstar> my new modem rock )*?}[NO CARRIER
Smalltalk Setz|Smalltalk: The language God meant people to use!
wem2 wem|Radioactive cats have 18 half-lives
Win32AsmTut _Secret|http://www.nauticom.net/www/secret Under DOX! Many Links Under Links!
program Gambit-|{PRO-gram} [n] A magic spell cast over a computer which allows it to turn one's input into error messages; [v] to engage in a pastime similar to banging one's head against a wall, but with fewer opportunities for reward.
wp8 Setz|Word Perfect 8 for Linux: ftp://pcp.media.mit.edu/pub/wp8/linuxgui8.tar.gz
ask x86|Just *ask* a precise question (while clearly describing your problem) in the channel. Then wait for an answer. (Do not ask to ask, just ask.)
wawb Gambit-|All cats must die! --> -|-{>8[]}-|- <-- cat in a blender
OOTERM SNIBRIL|Object Oriented Terminology - http://www.digisys.net/users/lmeadors/ooterm.htm
human Gambit-|Human beings, who are almost unique in having the ability to learn from the experience of others, are also remarkable for their apparent disinclination to do so. -- Douglas Adams
christian Gambit-|Christian: One who believes that the New Testament is a divinely inspired book that is admirably suited to the spiritual needs of his neighbour.
stress Gambit-|Stress: The confusion created when one's mind overrides the body's desire to beat or choke the living shit out of some asshole who desperately needs it.
clearscreen Tybstar|See http://www.eskimo.com/~scs/C-faq/q19.4.html.
linuxgamewriter OrngeTide|Linux/X11 Game Writers Page. http://game.ncl.ac.uk/
SDL OrngeTide|Simple DirectMedia Layer. Low-level access to video, audio, keyboard, and mouse. LGPL'd and Crossplatform. (Linux,Win32,Solaris,BeOS) http://www.devolution.com/~slouken/projects/SDL/
winsockets CyrixBoy|Need WinSock devlopment information? try http://www.sockets.com
moral Gambit-|Never let your morals or ethics keep you from doing whats right.
ice Gambit-|ICE: Intrusion Countermeasure Encryption
xoom _Secret|http://members.xoom.com/xoomsucks1/
rules `CYCO|`CYCO rules!
eckel Gambit-|Eckel's Thinking in C++, ISBN 0-13-917709-4
effective Gambit-|Effective C++ and More Effective C++, by Meyers
fontpool OrngeTide|http://www.fontpool.com/ lots of shareware, freeware and charityware fonts, in TrueType, Type1 and other formats.
hoempage `CYCO|The EFNet's #C Web Page is at "http://www.RealDev.COM"
cpics `CYCO|#C Pictures Gallery: "http://www.RealDev.COM"
PI400 _Secret|http://www.hepl.phys.nagoya-u.ac.jp/~mitsuru/pi-e.html PI to 400 Million Digits!
directx-tute Teckla|http://www.xgames3d.com/articles/dxtasy/areaddxt.htm
violation dhartmei|E-PARKING VIOLATION: You are in violation of code SPAM3010-02, "Taking up excessive cyberspace with pointless, verbose, arrogant drivelling." Your keyboard has been towed.
c-tute zhivago| http://www.sanford.com/ism3232/inter.c/outline.htm
c-refr zhivago|http://www.sanford.com/ism3232/inter.c/outline.htm  pointers,  stacks,
gnome SaintN|http://www.gnome.org/
stevens zhivago|http://www.kohala.com/~rstevens/
here Gambit-|There is always someone here.  Ask your question, already!
linsux Gambit-|linsux: Used to describe one of the "lesser" operating systems.  Pron to fanaticism, its users are engaged in a vicious, but so far unsuccessful, turf war with the minions of the Evil Empire and, to a lesser degree, those of the Big Apple.
do_stuff Xgc|do_stuff?  You're probably looking at Xgc's program.
clue Gambit-|Clue: What we have, hes getting, and your never gonna get.
ssh4nt `CYCO|www.datafellows.com or something like that.
stl Gambit-|Standard Template Library for C++. Templates of useful collection classes, browse http://www.cyberport.com/~tangent/programming/stl/resources.html for more info.
freetype OrngeTide|FreeType is a portable library for rendering Windows and Mac TrueType fonts, it's written in pure ANSI C, with various extentions for various OSes. it's LGPL too! http://www.freetype.org
calc-mem Triffid|To find out how much memory you have left, use the following code: while (malloc(1)); printf("0 bytes.");
teek MXV|stoopid norwegian
tutorial MXV|RTFT at http://java.sun.com/tutorial/
slrn OrngeTide|slrn - Slang News Reader, colorful newsreader for *nix that uses the Slang library(what jed uses). ftp://space.mit.edu/pub/davis/slrn/
searchcalc CyrixLord|sped
gtk+ OrngeTide|http://www.gtk.org/, ftp://ftp.gimp.org/pub/gtk/
p-curve Gambit-|A P-curve (or Probability Curve) is the finite number graph of the probability of the events happening, actually happening.  A spike means something surreal or heavily unexpected occured.
after-life Gambit-|Determining the afterlife is a divide-by-0 problem.
macos Gambit-|http://members.xoom.com/yaro/macos/unload.htm
TeX Xgc|TeX/Metafont info can be obtained at ftp.uni-passau.de or ftp.dante.de
_Secret _Secret|http://www.nauticom.net/www/secret 150+ Web Links, Source Code, Win32 Asm Tutor, demos, Programmer's Message Board and more!
nppl ThaDragon|Numerous Postponed Projects Listing(tm ThaDragon): Its always a good idea to keep a list of projects you might wanna do later, this is a postponed projects listing. When it gets as long as mine, its a NPPL ;}.
punctuation Ape|Lameness is directly proportional to the amount of excess punctuation used. Keep it up.
draft redfox-|ISO C Draft as of August 3, 1998 -> http://wwwold.dkuug.dk/JTC1/SC22/WG14/www/docs/n843.txt
command SNIBRIL|C/C++ HAS no commands!
BSOD Triffid|BSOD (Blue Screen Of Death) source code: *(int*)rand() = rand();
manish MXV|punk
asm Gambit-|He who hasn't hacked assemply language as a youth has no heart. He who does as an adult has no brain. -John Moore
book Ape|Books arent nescessary. Just log onto IRC and ask us every question you have. Especially if you need to learn about printf. We like that.
snafu Gambit-|SNAFU: Situation Normal, All Fucked Up.  See FUBAR or FINE.
fubar Gambit-|FUBAR: Fucked Up Beyond All Recognition.
lag Gambit-|Bollays Law of Internet Latency: No matter how bad the latency is, it can always ge***NO CARRIER***
thankyou Triffid|Please refrain from thanking me, as I am a bot. Thank the guy who typed 'calc something', where 'something' is a word related to the thing I said about which you're thanking me.
beware dhartmei|Beware of bugs in the above code; I have only proved it correct, not tried it. -- Donald Knuth
fishy muted|as i suspected, something fishy..
"Hello" `CYCO|Yeh, "Hello" to you too!
logo Gambit-|<JoseQ> Old #C Logo from the founders - http://amadeus.upr.clu.edu/~joseq/images/cpagel.jpg
ORA Xgc|ORA: O'Reilly & Associates, Inc., http://www.ora.com/
true Xgc|true: Any non-zero value.
Moron _Secret|http://www.kingshore.com/coders/docs/h3rmit.txt
caffeine Gambit-|It is by Caffeine alone that I set my mind in motion.  It is by the Bean of Java that the thoughts aquire speed, the hands aquire shaking.  The shaking is a sign.  It is by Caffeine alone that I set my mind in motion.
girl Gambit-|Joelogon's Foolproof Guide to Making Any Woman Your Platonic Friend: http://www.wizard.net/~joelogon/platonic/
flood `CYCO|Don't paste useless code to the channel. Don't speak in rapid, short sentences. Most of all, don't annoy us.  7 lines in 7 seconds will get you kicked automagically!
e Gambit-|e = (-1)^(1/(i*pi)) (Or, see real_e)
look Gambit-|We do not want to look at your source code unless we ask you for it.  Don't solicit it.
segfault Aegis|If you are using an array and you read/write past either end of the array it may segfault (or may not).  Also, the same goes with a pointer to a buffer.  if it goes out of bounds you are attempting to access memory the program does not "own" and it segfaults.
magic Gambit-|Just because you need to do something, doesn't mean there is a single call that will magically do it for you.
fm Gambit-|Fucking magic.  See magic.
LMAO SNIBRIL|Laughing My Ass Off, a/k/a "Meet a Lamer"
mistake Gambit-|We must learn from our mistakes, so that we can recognize them when we make them again.
gods demoncrat|Against stupidity the gods themselves contend in vain.
strtok demoncrat|strtok is for losers.
winsock `CYCO|http://www.microsoft.com/products/developer/winsock/default.htm
Canada Triffid|Canada is in America, therefore Canadians are also Americans. Look 'America' up in a dictionary before you start making noise.
IMHO Xgc|IMHO seems like a four letter word to me.
manhood Xgc|Manhood is a good cuban cigar.
Feel_Like_You_have_No_Friends _Secret|[19:42] <HaB-> someone talk to me please
_DeadEye_ ponn|<_DeadEye_> long time no see :)
ban megaton|<ircman> Please ban me , I need to get some english papers done, don't make me give you a reason.
life Gambit-|<Setz> The point of life is to find out what the point of death is.
Warning2 _Secret|WARNING 394: Programmer is a moron.
